,frame_num,true_targets,yolo_detects,yolo_targets_in_queue,yolo_targets_displayed
0,83,4,5,5,5
1,84,4,5,5,5
2,85,4,5,5,5
3,86,4,5,6,6
4,87,4,5,5,5
5,88,4,6,5,5
6,89,4,4,5,5
7,90,4,5,6,6
8,91,4,5,5,5
9,92,4,6,4,4
10,93,4,5,4,4
11,94,4,7,6,6
12,95,4,4,6,6
13,96,4,4,6,6
14,97,5,6,6,6
15,98,5,6,6,6
16,99,5,4,5,5
17,100,5,4,5,5
18,101,5,4,4,4
19,102,5,7,6,6
20,103,5,4,6,6
21,104,5,4,5,5
22,105,4,3,4,4
23,106,4,3,4,4
24,107,4,3,4,4
25,108,4,4,5,5
26,109,4,4,4,4
27,110,4,4,4,4
