,frame_num,true_targets,yolo_detects,yolo_targets_in_queue,yolo_targets_displayed
0,44,4,6,5,5
1,45,4,6,5,3
2,46,4,5,4,4
3,47,4,5,4,4
4,48,4,4,4,4
5,49,4,2,3,3
6,50,4,2,2,2
7,51,4,3,2,2
8,52,4,2,2,2
9,53,4,1,2,2
10,54,4,1,2,2
11,55,4,2,2,2
12,56,4,4,4,4
13,57,4,3,4,4
14,58,4,3,4,4
15,59,4,3,3,3
16,60,4,3,3,3
17,61,4,3,3,2
18,62,4,2,3,2
19,63,4,4,3,3
20,64,4,3,3,3
