,frame_num,true_targets,dino_detects,dino_targets_in_queue,dino_targets_displayed
0,44,4,5,3,3
1,45,4,5,3,3
2,46,4,5,3,3
3,47,4,5,3,3
4,48,4,6,3,3
5,49,4,5,3,3
6,50,4,4,3,3
7,51,4,3,3,3
8,52,4,4,3,3
9,53,4,2,3,3
10,54,4,4,4,4
11,55,4,4,6,6
12,56,4,4,4,4
13,57,4,4,3,3
