,frame_num,true_targets,staticPd_detects,staticPd_targets_in_queue,staticPd_targets_displayed
0,36,4,5,4,4
1,37,4,4,4,4
2,38,4,4,4,4
3,39,4,4,4,4
4,40,4,4,4,4
5,41,4,4,4,4
6,42,4,4,4,4
7,43,4,4,4,4
8,44,4,4,4,4
9,45,4,5,4,4
10,46,4,5,4,4
11,47,4,5,4,4
12,48,4,5,3,3
13,49,4,5,3,3
14,50,4,6,4,4
15,51,5,5,4,4
16,52,5,5,3,3
17,53,5,4,3,3
18,54,5,5,3,3
19,55,5,4,3,3
20,56,5,5,3,3
21,57,5,4,3,3
22,58,5,5,3,3
23,59,5,4,3,3
24,60,5,5,3,3
25,61,5,5,3,3
26,62,5,6,3,3
27,63,5,6,3,3
28,64,5,5,3,3
29,65,5,6,3,3
30,66,5,5,3,3
31,67,5,4,2,2
32,68,5,6,2,2
33,69,5,4,2,2
34,70,5,5,3,3
35,71,6,6,4,4
36,72,6,6,3,3
37,73,6,4,3,3
38,74,6,4,3,3
39,75,6,5,3,3
40,76,6,5,3,3
41,77,6,6,3,3
42,78,6,6,3,3
43,79,6,6,3,3
