,frame_num,true_targets,yolo_detects,yolo_targets_in_queue,yolo_targets_displayed
0,44,4,6,5,5
1,45,4,6,3,3
2,46,4,6,4,4
3,47,4,5,5,5
4,48,4,4,5,5
5,49,4,2,3,3
6,50,4,2,2,2
7,51,4,3,2,2
8,52,4,2,2,2
9,53,4,1,2,2
10,54,4,1,2,2
11,55,4,2,2,2
12,56,4,2,1,1
13,57,4,3,3,3
14,58,4,3,3,3
15,59,4,3,3,3
16,60,4,3,3,2
17,61,4,3,2,2
